City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Gondanglegi,ID,21-02-04 00:01:20,-7.7479,112.0132,76.44,88,87,5.53
273,Oranjemund,NA,21-02-04 00:01:21,-28.55,16.4333,61.92,92,2,7.23
274,Pisco,PE,21-02-04 00:01:21,-13.7,-76.2167,73.99,73,0,19.57
275,Charters Towers,AU,21-02-04 00:01:22,-20.1,146.2667,82.67,62,47,8.97
276,Adrar,MR,21-02-04 00:01:22,20.5022,-10.0711,66.69,24,13,4.52
277,Sertanopolis,BR,21-02-04 00:01:22,-23.0586,-51.0364,77.0,78,40,5.75
278,Sisimiut,GL,21-02-04 00:01:24,66.9395,-53.6735,-1.52,78,96,10.04
279,Markova,UA,21-02-04 00:01:24,48.6758,24.4138,39.6,88,100,7.23
280,Belmonte,BR,21-02-03 23:58:41,-15.8631,-38.8828,78.8,78,40,8.05
281,Ulverstone,AU,21-02-04 00:01:26,-41.15,146.1667,70.0,65,31,5.46
282,Northport,US,21-02-04 00:01:26,33.229,-87.5772,46.4,42,1,1.3
283,Gorontalo,ID,21-02-04 00:01:27,0.5412,123.0595,78.71,83,100,3.04
284,Fethiye,TR,21-02-04 00:01:27,36.6217,29.1164,50.0,87,0,5.75
285,Turukhansk,RU,21-02-04 00:01:28,65.8167,87.9833,-5.58,92,100,3.83
286,Carutapera,BR,21-02-04 00:01:28,-1.195,-46.02,78.84,83,7,8.3
287,Dargaville,NZ,21-02-04 00:01:29,-35.9333,173.8833,78.82,41,36,4.83
288,Vila,PT,21-02-04 00:01:31,42.0304,-8.1588,46.99,93,78,14.0
289,Kaitangata,NZ,21-02-04 00:01:31,-46.2817,169.8464,55.99,59,55,8.01
290,Puerto Escondido,MX,21-02-04 00:01:31,15.85,-97.0667,80.37,69,2,4.88
291,Balkhash,KZ,21-02-04 00:01:32,46.844,74.9804,15.24,94,100,4.18
292,Ushumun,RU,21-02-04 00:01:32,52.7833,126.5333,-26.73,83,0,7.83
293,Cap Malheureux,MU,21-02-04 00:01:33,-19.9842,57.6142,75.0,89,8,3.0
294,Saint-Pierre,RE,21-02-04 00:01:33,-21.3393,55.4781,77.0,73,0,5.75
295,Karimpur,IN,21-02-04 00:01:34,23.9667,88.6167,53.85,59,0,4.97
296,Gigmoto,PH,21-02-04 00:01:35,13.7796,124.39,78.01,84,87,18.03
